క్రియ,అర్థం,Primary sense-type,Secondary sense-type
కొఱవోవు,"డిల్లపోవు,సత్త్వహీనమగు",,
కొఱుతనుఱుకు,సాహసకృత్యము చేయు,,
కొలనాడు,"తీర్థమాడు,స్నానముచేయు",,
కొలిపించు,"నాట్యయోగ్యతద్ధిత్తాది,సబ్ధముల నుచ్చరించు",,
కొలుపు,"ఇష్టపడు,సమ్మతించు;ఇష్టమగు,సమ్మతమగు;పనికివచ్చు,చెల్లు,సాగు",,
కొలుపు,"నాట్యయోగ్యతద్ధిత్తాది,సబ్ధముల నుచ్చరించు",,
కొల్లపడు,"కొల్లవోవు,అపహృతమగు",,
కొసరు,"మాటిమాటికి కూయు;విజ్రుంభించు,సంకోచించు;జంకు",,
కోచవారు,"భయపడు,భీతిల్లు",,
కోతపడు,"ఖండితమగు,నరకబడు",,
కోపువారు,"అందగించు,రమ్యమగు",,
కోరగించు,"మొగ్గతొడుగు,కోరకితమగు;ఉదయించు,పొడుచు;(కోపముచే)ఎర్రవారు,ఎర్రనగు;మిరుమిట్లుగొను,మిక్కిలి చెదరు;ముడుగు,ముకులితమగు;ఏడ్చు",,
కోరవారు,"కోపముచే ఎర్రవారు,ఎర్రనగు",,
కోరవోవు,కొంకరలు పోవు,,
కోలుకొను,"ఉత్సహించు;వర్థిల్లు,వృద్ధినొందు;(మూర్చాది బాధలనుండి)తేరుకొను,స్వస్థతనొందు",,
కోలుపడు,"క్షీణించు,తగ్గు;హింసింపబడు;అపహృతమగు",,
కోలుపోవు-కోలుపడు,"చెడు,మోసపోవు",,
కోలుమసగు,"కసిమసగు,మిక్కిలి విజ్రుంభించు,అతిశయించు",,
కోడగించు,శృంగార చేష్టలు చేయు,,
కోడుతాఱు,పండినపైరు మిక్కిలి ఎండు,,
కోపగించు,"కోపపడు,కోపించు",,
కోపగిల్లు,కోపగించు,,
క్రందిల్లు,"మ్రోగు,కేకలు వేయు",,
క్రందు,"మ్రోగు,విలపించు",,
క్రందుకొను,"అతిశయించు,బహుళమగు,తరచగు;నిండు;మూగు,గుమిగూడు",,
క్రందువడు,"సంకులముగాబడు,గుంపుగాబడు;మూగు,గుంపగు",,
క్రక్కసపడు-కక్కసపడు,కతఠీనమగు,,
క్రక్కుపడు,"స్థలితమగు,తొట్రుపడు",,
క్రమ్మఱు,"నివర్తిల్లు;మరలు;మరలివచ్చు,మరలిపోవు",,
క్రమ్ము,"వ్యాపించు,ప్రసరించు,కాఱు,ప్రవహించు;కవియు,పైబడు,పడు,ఉబుకు;అతిశయించు,అధికమగు;కలుగు,పుట్టు;",,
క్రమ్ముకొను,మూగు,,
క్రమ్ముదెంచు,"క్రమ్ము;వ్యాపించు;త్రోసికొనివచ్చు;ఉబుకు,వెడలు,ఉద్గతమగు",,
క్రమ్మువడు,మూతవడు,,
క్రయ్యబడు,"కలియబడు,చొరబడు;కలియు,కూడు",,
క్రయ్యబాఱు,కలయబాఱు,,
క్రయ్యు,కలియు,,
క్రల్లవడు,"దగ్ధమగు,కాలు",,
క్రాగు - కాగు,"దగ్ధమగు,కాలు;తపించు,మండు;పరితాపమొందు;పోవు,నశించు",,
క్రాయు,కాండ్రించు,,
క్రాలు,"చలించు,కదలు;సంచరించు,తిరుగు;ప్రవర్తిల్లు,వర్తిల్లు;చెదరు,క్రమ్ము,అతిశయించు,విజృంభించు;సంచలించు,క్షోభపడు;ఒప్పు",,
క్రాలుకొను,"క్రాలు,ప్రకాశించు",,
క్రిందువడు,"తక్కువయగు,తగ్గు;లోబడు,లొంగు;ఓడు",,
క్రిక్కటిల్లు,కంపించు,,
క్రిక్కిఱియు,"ఎడమలేకయుండు,నిండు;చేరు,కూడు",,
క్రిక్కొను - క్రిక్కిఱియు,నిండు,,
క్రియ్యు - క్రుయ్యు,కృశించు,,
క్రీబడు,తక్కువయగు,,
క్రుంకు,"మునుగు,స్నానముచేయు; అస్తమించు;చచ్చు,మృతినొందు;గ్రుచ్చుకొను;అడుగునకుబోవు",,
క్రుంగబడు - క్రుంగు,"దిగబడు,క్రిందికిపోవు",,
క్రుంగు,"దిగబడు;అడగు;తగ్గు,నశించు,మరణించు;వంగు,క్రిందికొదుగు;పోట్టిదగు",,
క్రుమ్మరిల్లు - క్రుమ్మరిలు,"కుండలో మొ""యొక్కసారిగా జలాదులు పడు;పడు",,
క్రుమ్మరు,"తిరుగు,సంచరించు;విహరించు;ప్రవర్తించు",,
క్రుమ్ముడుపడు,పొటుపడు,,
క్రుమ్ములాడు - కుమ్ములాడు,పోట్లాడు,,
క్రుయ్యు,"కృశించు,తగ్గు,క్షీణించు;వెనుదీయు,వెనుకపడు",,
క్రుళ్లగించు,మనస్సులో దుఃఖించు,,
క్రుళ్లు - కుళ్లు,"అవియు,పగులు;మనస్సులో దుఃఖించు",,
క్రేటు,"గొంతు సవరించుకొనుటకై ఒకవిధమగు చేయు,సకిలించు;తొట్రుపడు",,
క్రేటుకొను - క్రేటు,గొంతు సవరించుకొనుటకై యొక విధమగు శబ్ధము చేయు,,
క్రేదొట్టు,గట్టొరయు,,
"క్రేడించు - క్రేణించు,క్రేడించు",తొలగు,,
క్రేళ్లుదాటు,"ఎగిరిపడు,గంతులిడు,దుముకు",,
క్రేళ్లుబ్బు,అతిశయించు,,
క్రెళ్లుఱుకు,"ఉఱుకు,దూకు;ఎగిరిపడు,మిడిసిపడు,గంతులిడు",,
క్రేళ్లువాఱు,గంతులు వేయు,,
క్రేళ్లుసను,"క్రేళ్లుదాటు,ఎగిరిపడు",,
క్రేళ్లెగయు,"మీదికెగురు,పైకెగురు",,
క్రొత్తపడు,క్రొత్తయగు,,
క్రోయిపెక్కు,"కైపెక్కు,వదలు,వీడు",,
క్రొవ్వారు,"బలియు,అతిశయించు,సారవంతమగు",,
క్రొవ్వు,"గర్వించు,మదించు;వాడియగు,తీక్ష్ణమగు;బలియు,అతిశయించు",,
క్రొవ్వుగొను,మదించు,,
క్రోలుచు,"(కోకిలమొ"")కూయు",,
గంటివడు,,,
గండరించు,"ఉదయించు,పుట్టు",,
గండాడు,"మగపనిచేయు,రమించు",,
గంతుగొను,"దుముకు,దాటు;చచ్చు",,
గగురుపాఱు,గగురుపాటు కలదియగు,,
గగురుపొడము,గగురు కలదియగు,,
గగురుపొడుచు,"రోమాంచితమగు,పులకించు;(రోమములు)నిక్కు",,
గగ్గు,సంకోచించు,,
గగ్గోలుపడు,"క్షోభపడు,కలతనొందు",,
గచ్చువడు,లోపించు,,
గచ్చువిచ్చగు,"కార్యము వికలమగు,వికలమగు",,
గజరుగజరులువోవు,పులకరించు,,
గజిబిజించు,"కలవరపడు,కలతపడు;గడబడచేయు",,
గజిబిజిపడు,కలతనొందు,,
గట్టిపాఱు,"గట్టిపడు,బెదరు,తీఱు",,
గట్టిల్లు,"సమకూడు,సంభవించు,ఘట్టిల్లు",,
గడగడలాడు,వడకు,,
గడసిల్లు,"కడనుండు,చివరదగు",,
గడితపడు,"గట్టిపడు,ఘనీభవించు",,
గడిదేఱు,"నిపుణుడగు,ఆరితేఱు",,
గడిసిల్లబడు,(ఱొమ్ము)భారాదులచే క్రుంగబడు,,
గడుసుపడు,"మొండితనము వహించు,బండయగు",,
గడ్డుకొను,అతిశయించు,,
గడ్డుఱుకు,"పైపడు,కవియు;పాఱిపోవు,తప్పుకొనిపోవు",,
గద్దఱించు,గర్జించు,,
గనికట్టు,"ఘనీభవించు,గడ్డకట్టు",,
గప్పళించు,ఇనుకు,,
గబ్బుకొను,"గబ్బుకలదియగు;వాసనగొట్టు,పరిమళించు",,
గబ్బుదేఱు,గబ్బుకలదియగు;అతిశయించు,,
గబ్బెక్కు,"గబ్బుమీఱు,సాంద్రమగు,దట్టమగు",,
గమకముగొను,"యత్నముచేయు,యత్నించు",,
గమకించు,"యత్నించు,పూను;మనోజ్ఞమగు,ఒప్పు",,
గమగమించు,గమగమయని వాసనగొట్టు,,
గమాయించు,"గమగమించు,పరిమళముగొట్టు,సువాసనగొట్టు",,
గమించు,వెళ్లు,,
గమిగూడు,గుంపుగూడు,,
గమిగొను,ప్రోగువడు,,
గయాళించు - గయ్యాళించు,"ఉద్ధతిచూపు;పెద్దకేకలు వేయు,అఱచు",,
గయ్యాళించు - గయాళించు,ధిక్కరించి మాటలాడు,,
గరకట్టు,గడ్డకట్టు,,
గరకొను,"గరకట్టు,గడ్డకట్టు",,
గరవడు,"ఘనీభవించు,గడ్డకట్టు",,
గరిగొను,అతిశయించు,,
గరిబడు,"కలియబడు,డీకొను",,
గరివించు,"గర్వపడు,గర్వించు",,
గరుదాల్చు,గగుర్పొడుచు,,
గరుపాఱు,"గగుర్పొడుచు,మీదికి తూలిపడు",,
"గర్వాడు,గరువడు","మేపు,మేయు",,
గలతరించు,(మేను)జల్లుమను,,
గలబరించు,"డోకుపుట్టు,కలగు",,
గాండ్రించు,(ముఖము)ఉబ్బు,,
గాజువాఱు,"కాంతిహీనమగు,గాజుపడు",,
గాతుకలగు,"ఖేదిల్లు,పగులు",,
గారవిల్లు(లు),"గారవము నొందు,లాలనమునుపొందు,అనురాగము నొందు,వలపుచెందు,గౌరవమునొందు",,
గాలిబుచ్చు,"గాలిబోవజేయు,వ్యర్ధముజేయు",,
గాలిబోవు,"గాలికి కొట్టుకొనిపోవు,నశించు;వ్యర్ధమగు",,
గాలిగొను,గాలిచే తడియాఱు,,
గాసిబడు,"బాధపడు,దుఃఖపడు",,
గాసిలు(ల్లు),"శ్రమపడు,ఆయాసపడు,కష్టపడు,బాధపడు;క్షీణమగు,తగ్గు,కోపమొందు",,
గింజుకొను,"కాళ్లు,చేతులు విదిలించుకొను,గిజగిజలాడు,శ్రమపడు",,
గిజగిజలాడు,"క్షోభపడు,కలవరమొందు",,
గిటగిటమను - కిటకిటమను,వణకు,,
గిట్టించు,గిట్టుబడియగు,,
గిట్టు,"చచ్చు;చెడు,నశించు",,
గిట్టు,"చాలు,అనుకూలమగు,ఇష్టమగు,సరిపడు",,
గిఱికొను - గ్రిక్కొను,"వ్యాపించు,పర్వు,ప్రవహించు;అధికమగా కలుగు;స్థిరపడు",,
గిలగిలలాడు,"క్షోభనొందు,బాధచే తన్నుకొను",,
గిలకరించు,మ్రోగు,,
గీజుపోరు,"విరామములేకుండ జగడమాడు,మిక్కిలి మారము చేయు",,
గీటడగు,"చచ్చు,నశించు",,
గీపెట్టు,"(ఏనుగు)ఘీంకారముచేయు,మొఱపెట్టు;మ్రోయు,ధ్వనిచేయు",,
గీఱు,"నాటు,గ్రుచ్చుకొను",,
గుంజిలిపెట్టు,"గోపనము చేయు,దాచు",,
గుంజిలిపెట్టు,గుంజిళ్లు తీయు వానివలె పైకి బోవుచు గ్రిందికి వచ్చుచుండు,,
గుంజులాడు,పెనగులాడు,,
గుంటలువడు,"పల్లమగు,లోతగు",,
గుండుగిలు,చుట్టచుట్టుకొనిపడు,,
గుండ్రించు,"తిరుగాడు,తిరుగు,తిరుగబడు;కడుపులో త్రిప్పు,త్రేచు",,
గుంపుగూడు,"మల్లడిగొను,గుంపుగాజేరు",,
గుజగుజయగు,బాధపడు,,
గుజగుజలాడు,"గుసగుసలాడు,గజిబిజిపడు,త్రొక్కులాడు",,
"గుజగుజవోవు,గుజగుజలబోవు-గుసగుసలబోవు","గుసగుసలాడు,రహస్యముగా మాటలాడు",,
"గుటుక్కను,గుటుక్కుమను",చచ్చు,,
గుడికొను,"వ్యాపించు,క్రమ్ము;గుండ్రముగా దిరుగు,ఉబుకు,పైకివచ్చు;అతిశయించు",,
గుడిచుట్టు,"(గుఱ్ఱము) మండలాకారముగా దిరుగు,వేడెము తిరుగు;మండలాకారముగా దిరుగు",,
గుడిదిరుగుకొను,గుండ్రముగా దిరుగు,,
గుడివడు,గుండ్రమగు,,
గుడుసువడు,"గుండ్రమగు,తగ్గు,తఱుగు,తక్కువపడు",,
గుత్తులుగొను,గుత్తులు బయలుదేఱు,,
గుదగుదపడు,పరితాపపడు,,
గుదగుదమను,పరితపించు,,
గుదగుదలాడు,డగ్గుత్తికతో నేడ్చు,,
గుదిగొను,"అతిశయించు,దట్టమగు,స్థూలమగు;మూటకట్టుగా గూలబడు;తడబడు",,
గుదివడు,"గుదివేసినట్లగు-బద్ధమగు,కట్టువడు,స్తంభించు,స్తబ్ధమగు",,
గుదులపట్టు,"కదలకుండ కూర్చుండటచే కాళ్లు స్తంభించు,స్తబ్ధమగు",,
గుద్దలిగొను,హానిచేయదలచు,,
గునియు,"నర్తించు,ఆడు;చలించు;ఊగు,చెదరు;కులుకు",,
గునిసియాడు - గునియు,"నర్తించు,ఆడు;చలించు",,
గనుకు,"మందముగా పరిగెత్తు,పరిగెత్తు",,
గుప్పళించు,"అతిశయించు,పుక్కిలించు,గండూషము చేయు",,
గుబాళించు,"పరిమళించు,(సువాసన)కొట్టు",,
గుబురుకొను,"గుంపుకట్టు,సాంద్రమగు",,
గుబులుకొను,"వాసన గుప్పునకొట్టు,పరిమళించు",,
గుబ్బటిల్లు(లు),"ఘూర్ణిల్లు,తిరుగుడుపడు",,
గుబ్బతిల్లు(లు),"అతిశయించు;ఉప్పొంగు,పొంగు;ఉడుకు,పరితపించు,ప్రజ్వలించు,మండు",,
గుమికట్టు - గుమిగూడు,"గుంపుగూడు,సంఘమగు",,
గుమిగొను - గుమిగూడు,గుంపుగూడు,,
గుమురుగట్టు,"గుంపుగట్టు,గుంపగు",,
గురువుదేఱు,పరుగిడు-రక్తము మొదలైనది జిఱ్ఱున పైకి ఉబుకు,,
"గురువులువాఱు,గురువువాఱు","పరుగెత్తు;అతిశయించు,విజృంభించు;హర్షముచే ఉప్పొంగు,ఉబుకు",,
గుఱకపెట్టు,"గుఱకలిడు,గుఱుపెట్టు",,
గుఱకలిడు,గుఱకలుపెట్టు,,
"గుఱించు,గుఱియించు","సంకల్పముచేయు,తలపెట్టు",,
గుఱిపడు,"పేరువడు,ప్రసిద్ధికెక్కు",,
గుఱియగు,సమర్థుడగు,,
గుఱుకొను,"యత్నించు,పూను;అతిశయించు",,
గుఱుతుపడు,"తెలియు,విదితమగు",,
"గుఱుపె(వె,ర్పె,ర్వె)ట్టు",గుఱుకపెట్టు,,
గుఱుపొడుచు,గుఱుకపెట్టు,,
గులకరములుగొను,"మొలకలెత్తు,గులకరించు",,
గులకరించు1,"ధ్వనిచేయు,శబ్దించు",,
గులకరించు2,"అంకురించు,వ్యాపించు,వెలువడు,నిర్గమించు",,
గుల్లపడు,అవమానపడు,,
గువ్వకరిగొను,"విజృంభించు,రేగు",,
గువ్వకుత్తుకపడు,ఆకలిచేత హీనస్వరము గలవాడగు-కృశించు,,
గుసగుసలాడు - గుసగుసలుబోవు,రహస్యముగా మాటలాడు,,
గూండ్రించు,గ్రుడ్లగూబ కూయు,,
గూనుగిలు(ల్లు),వంగు,,
గూనువోవు,గూను కలదియగు,,
గెంటు,"చలించు,కదలు,తొలగు;చెడు,భగ్నమగు;తప్పిపోవు;తప్పు;వెనుదీయు,సంకోచించు",,
గెంటుపడు,"పోవు,తప్పిపోవు",,
గెడగూడు,"జతగూడు,జతయగు,రతియందు కలియు",,
గెనయు,వర్ధిల్లు,,
గెలుచు,"జయమును పొందు,సర్వోత్కర్షమున వర్తిల్లు;పోవు,వెళ్లు",,
గెల్లుప(వ)డు,ఱెంకవేయు,,
గొంతరించు,అతిశయించు,,
గొడగు - గొణగు,ఎదుటివారికి వినబడకుండ,,
గొడ్డువోవు,"గొడ్రాలగు;పౌరుషహీనుడగు;వ్యర్థమగు,సృష్టిలేకయుండు;ఉత్పతిలేనిదగు",,
గొణగొణలాడు,గొణగొణయను,,
గొదగొను1,ఆకలిగొను,,
గొదగొను2,"విజృంభించు,అతిశయించు;చెలరేగు;త్వరపడు",,
గొనకొను,"ఉద్యమించు;సమ్మితించు;అతిశయించు;నెలకొను;తటస్థించు,సంభవించు",,
గొనబారు,"మనోజ్ఞమగు,సొగసగు",,
గొలుసుగొను,గొలుసువలెనుండు;ఒకదానితోనొకటి యంటియుండు,,
గొవరువోవు,తపించు,,
గోండ్రించు - గోండ్రిలు,"ఎలుగు మొ""-కూయు",,
గోండ్రిలు(ల్లు)-గోండ్రించు,"పులి మొ""-కూయు",,
గోడగించు,శబ్దించు,,
గోడాడు,"దూఃఖించు,విలపించు",,
గోడివడు,"ఒడ్డ గెడవగు,ఏటవాలగు",,
గోరగించు,భయంకరమగు,,
గోరపడు,విసుగుకొను,,
గోరించు,ఎగయు,,
గోరొత్తు,నఖక్షతము చేయు,,
గోర్పిళ్ళాడు,బంతివలె ఎగురు,,
గోలురించు,(పులి)కూయు,,
గ్రక్కతిలు(ల్లు),"(భయాదులచే)వడకు,కంపించు,అదరు",,
గ్రక్కదలు,"కంపించు,అదరు;భగ్నమగు",,
గ్రుక్కలుమ్రింగు,"గుటకలు వేయు;అపేక్షపడు,సంకోచించు",,
గ్రుక్కు,గ్రుక్కలుమ్రింగు;(చెప్పుటకేమియు లేక)గుటకలు వేయు;తొట్రుపడు,,
గ్రుక్కుమిక్కను - బిక్కుబిక్కుమను,ఏకాకిత్వాదులచే-దిగులుపడు,,
గ్రుచ్చు,"నాటించు;గాఢముగా బట్టుకొను,బిగియబట్టుకొను,భేదించు,చీల్చు;[పెల్లగించు,(మాళిక మొ"")కూర్చు;తూర్చు,చొనుపు;గ్రుచ్చి కౌగిలించు,నాటు",,
గ్రుచ్చుకొను,"కాడు,తూఱు,నాటుగొను",,
గ్రుద్దులాడు,"ఒకరినొకరు గ్రుద్దుకొనుచు పోట్లాడు,దెబ్బలాడు",,
గ్రొయ్యు,పల్లమగు,,
ఘోటించు,తిరుగు,,
ఘోషించు,"మ్రోయు,ఘోషిల్లు",,
చంగలించు,"చలించు, తొలగు",,
చండించు,"మందగించు, అలసమగు",,
చండివడు,"మొందికెత్తు, మొడితనము వహించు",,
చక్కబడు,"కుదురు, పొసగు, తిన్ననగు, మంచిదారికివచ్చు, తనియు, తృప్తిపడు, నెఱవేఱు, సిద్ధించు, తీరు, పరిష్కృతమగు",,
చక్కడగు,చచ్చు,,
చక్కనగు,"తగు, యుక్తమగు, అర్హమగు, చక్కబడు, నెఱవేఱు, సిద్ధమగు, సన్నద్ధమగు, తీఱు, సమాప్తమగు.",,
చచ్చు,మృతినొందు,,
చటులువడు,"కుంఠితమగు, మొక్కవోవు",,
చట్టుపడు,"నశించు, అడచు",,
చతికిలపడు,"పిఱ్ఱలు నేలనానునట్లు పడు, కూలబడు",,
చతికిలు,పిఱ్ఱలు నేల నాను,,
చదికిలబడు-చతికిలపడు,"పిఱ్ఱలు నేలనానునట్లు కూలబడు, నిర్వ్యాపరముగానుండు, కదలకుండు",,
చదికిలు - చతికిలు,పిఱ్ఱలు నేల నాను,,
చదియు,"నలగు, చచ్చు, నశించు",,
చదుకుపడు-చతికిలపడు,"చతికిలభడు, ఊడిపోవు",,
చదురడుచు,పరిహాసమాడు,,
చను,"పోవు, వెళ్ళు, దాడివెడలు, లేకపోవు, నశించు, తీరు, పాడగు, నిష్పలమగు, భ్రష్టమగు, చెడిపోవు, తీరు, నిండు, పర్యాప్తమగు,  చచ్చు",,
"చనుదెంచు, చందేచు",వచ్చు,,
చప్పడించు,"చప్పుడుచేయు, ధ్వనిచేయు",,
చరలా(ర్లా)డు-చెరలాడు,క్రీడించు,,
చరి(యి)oచు,"ప్రవర్తించు, తిరుగు, సంచరించు, వ్యభిచరించు",,
చలపట్టు,"చలముకలదియగు,పట్టుపట్టు,అభినివేశముగలవాడగుమాత్సర్యవంతుడగు",,
చలపొడుచు,"చలముగొను,దుష్టమగు",,
చలపోరు,చలముతో పోరాడు,,
చలముకొను,చలముకలిగియుండు,,
చలిదీఱు,భయము తీఱు,,
చల్లబడు,"శీతమగు, చల్లనగు",,
"చల్లారు, చల్లనారు","ఉపశమిల్లు, తగ్గిపోవు, చల్లబడు",,
చల్లు,వ్యాపించు,,
చల్లులాడు-చల్లు,జలక్రీడచేయు,,
చవుకపడు-చౌకపడు,"తక్కువపడు, న్యూనమగు",,
చవుకళించు-చౌకళించు,"నటించు, ఆడు",,
చాగబడు,దండాకారముగా వ్రాలు,,
చాగిలబడు,దండాకారముగా వ్రాలు,,
చాగిలు(ల్లు)-సాగిలు,"సాష్టంగ నమస్కారము చేయు, మ్రొక్కు, దండాకారముగ వ్రాలు",,
చాగు - సాగు,"వెడలు, పోవు, బయలుదేఱు, తిరుగు, సంచరించు, ప్రవహించు, పాఱు, జరుగు, ప్రవర్తిల్లు, కూడవచ్చు, వెంటవచ్చు, ఆరంభించు, మొదలిడు",,
చాటువ(ప)డు,"దాగు, మఱుగుపడు",,
చాయవాఱు,"పొడుసూపు, కనబడు, సరిపడు",,
చాలు,"సమర్ధమగు, అంగీకరించు, ఇష్టపడు, తీరు, సరిపడు, సమానమగు, దీటగు, పర్యప్తమగు, సరిపోవు, తగు, అర్హమగు, ముగుయు",,
చాలుకొను,"వరుసగట్టు, వరుసగానేర్పడు",,
చాలువాఱు,సమృద్ధమగు,,
చాల్ప(ల్వ)డు,"పంక్తియగు, ప్రోగుపడు",,
చావజూచు,చంపు,,
చిందఱకొట్టు,"రెచ్చు, రేగు",,
చిందఱగొను,"ఆవేశమెత్తు, శీవమెత్తు, రెచ్చు, రేగు",,
చిందఱగొను - చీదఱగొను,"చిల్లులువోవు, తూట్లుపదు",,
చిందఱరేగు - చిందరేగు,"ఆవేశమెత్తు, సీవమెత్తు, రెచ్చు, రేగు",,
చిందా(దులా)డు,"గంతులువేయు, నాట్యముచేయు",,
చిందిలిపడు,తొట్రుపడు,,
చిదిలు(ల్లు),చెదరు,,
చిందు,"తొలకిపడు, ఒలుకు, వ్యాపించు, ప్రసరించు, రాలు, పడు, పోవు, ప్రకటించు, వ్య్క్తమగు",,
చిందుగొను-చిందులువాఱు,నర్తించు,,
చిందు(లు)ద్రొక్కు,"నర్తించు, గంతులువేయు",,
చిందువందు-చిందు,"బొట్లు బొట్లుగా రాలు, చుక్కలు చుక్కలుగా పడు",,
చిందువందులాడు,నర్తించు,,
చికిత్సించు," చికిత్స చేయు, వైద్యముచేయు",,
చికిలు,"కనులు మూయుచు తెఱచుచు, ఏడ్చు-ఏడ్చు",,
చిక్కబడు,"చిక్కినగు, సాంద్రమగు",,
చిక్కు,"కృశించు, క్షీణీంచు, కడచు, గతించు, వెనుదీయు, సంకోచించు, శేషించు, మిగులు",,
చిక్కు,"ఆగిపోవు, నిలిచియుండు, అట్టెయండు, బద్దుడగు, కట్టువడు, పట్టువడు, దొరకు",,
చిక్కుజీరువ(ప)డు,"తుత్తుమురగు, చిక్కుపడు, మెలిపడు",,
చిక్కుప(వ)పు,"చిక్కతీయు, చక్కబఱచు",,
చిగి(వి)రించు-చిగురుచు,"పల్లవించు, చిగురుపెట్టు వర్ధిల్లు",,
చిగురుకొ(ర్కొ)ను,"చిగిరించు, చిగుర్చు, పల్లవించు, అంకురించు, పుట్టు, కలుగు, ఉద్రేకించు, అతిశయించు, ఎఱ్ఱనగు, వ్యాపించు, ప్రసరించు",,
చిగు(వు)రుచు(ర్చు)-చిగిరించు,"పల్లవించు,చిగురొత్తు,పుట్టు,బయలుదేఱు ",,
చిగు(వు)రొ(రులొ)త్తు,"చిగుర్చు,పల్లవించు,అనుకురించు,మొలకెత్తు,పుట్టు,కలుగు,అతిశయించు,వికాసమునొందు,అనురక్తమగు",,
చిటచిటమను-చిటచిటలాడు,"చిటచిటలాడు, మండిపడు, మిక్కిలి కోపగించు",,
చిటికరించు,చిటిక వేయు,,
చిటిలి(ట్లి)పడు,"చెదిరిపడు, విక్షిప్తమగు, ఎగిరిపడు",,
చిటుకు-చిటికరించు,చిటికలువెయు,,
చిటుకు పొటుకుమను,పలుకు,,
చిట్ట(ల్లు)మిడచు,"చిటికవేయు, అంగుళి స్ఫోటనము చేయు",,
చిట్టాడు,"తప్పటడుగులు వేయు, సంచరించు, తిరుగు, చలించు, ప్రసరించు, అతిశయించు",,
చిట్లు(టులు),"పగులు, బీటలువఱు, చెదరు, మిక్కిలికోపించు",,
చిడిముడిప(వ)డు,"వేగిరపడు, సంభ్రమించు, త్వరపడు, కలతనొందు, కళవళపడు, భయపీడుతుడగు, కోపపడు",,
చితుకు-చిదుగు,"నలగు, పగులు",,
చిత్తగించు,"మనసుంచు, అవధరించు. ",,
చిదియు,నలగు,,
చిదుపు-చితుకు,"చిలియజేయు, నలగగొట్టు",,
చినుగు(న్గు)-చిరుగు,"ఛిన్నమగు, పగులు, బ్రద్దలగు, తూటుపడు, చిల్లిపడు, చిరుగు, పేలిక",,
చినుకు(న్కు),"బిందువులుగాపడు, కురియు, కాఱు, స్రవించు",,
"చిన్నబోవు, చిన్నగబోవు","భిన్నమగు, శోఖాహీనము,  విఫలమగు, చెడు",,
చిప్పిల్లు(లు)-చిప్పతిల్లు,"ఉద్భవించు, కలుగు, ఉబుకు, ఉద్గమించు, కాఱు, స్రవించు",,
చిముడు,"అమితంగా నుడుకు, అమితంగా నుడికి ముద్దయగు, చెడు",,
చిమ్మదిరుగు,గిగిరదిరుగు,,
చిమ్మి(మ్మ)రేగు,"విజృంభించు, రెచ్చు, అడరు, అతిశయించు, చెదరు",,
చిమ్ములాడు,"చల్లులాడు, జలక్రీడయందు, ఒకరిమీద నొకరు నీళ్ళు చల్లుకొను",,
చిరుతలు కవియు,మిఱుమిట్లుగొను,,
చిఱచిఱలాడు,"కొఱకొఱలాడు,కోపపడు",,
చిఱుతపడు,కుఱుచయగు,,
చిఱుతవోవు,చిన్నది,,
చిఱ్ఱుముఱ్ఱాడు,"పెనుగులాడు, దొమ్ములాడు, సందడించు, అతిశయించు, వ్యాపించు, ప్రసరించు, చిడిముడిపడు, సంభ్రమించు, తొట్రుపడు",,
చిలుకు(ల్కు),"చిందు, చెదరించు, రాలు, పడు, ప్రవేసీంచు, ఊరు, కురియు, వర్షించు, ప్రసరించు, వ్యాపించు",,
చిల్లులువోవు,"చిల్లులుపడు, తూటులు పడు",,
చివుకు,"సారహీనమగు, జీర్ణమగు. క్షోభించు, కలగు, నొచ్చు, చచ్చు",,
చీకట్లు(టి)గొను,"అంధకారమయమగు, చీకటితో నిండు",,
చీకాకుపడు,"కలతపడు, క్షోభపడు, బాధనొందు, చెదరు, ఖండితమగు, ముక్కలగు, పాడగు",,
చీకురించు,అంధమగు,,
చీరచిక్కు,"చీరచాలకుడు, కోక తక్కువయగు, గర్భమగు, కడుపువచ్చు",,
చీలు,"పలుగు, బ్రద్ధలగు",,
చుచ్చుకొట్టు,"సంతాపముచే ""చుచ్చు""",,
చుట్టు,"గిర్గిరతిరుగు, మూగు, కవియు",,
చుట్టుకొను,"వలయతమగు, గిరగిరదిరుగు",,
చుట్టువడు,చుట్టచుట్టలుగా బడు,,
చులుకపడు,న్యూనమగు,,
చూకురుపడు,"శోకించు, దుఃఖించు",,
చూచు,"యత్నించు, పూను, ఉద్యమించు, ఉత్సహించు, అభిలాషపడు",,
చూపట్టు,"కనబడు, ప్రథ్యక్షమగు, గోచరము తోచు",,
చూపడు,"చూపట్టు, కనబడు",,
చూపు,"పొడచూపు, కనబడు",,
చూపోవు,"చూచి సహించు, ఓర్పు",,
చూరు,"చూరు, (పొగ) పట్టు",,
చూఱపో(వో)వు,"కొల్లపోవు, అపహ్పతమగు, ధ్వస్తమగు, నశించు",,
చూలుకొను,"గర్భముతాల్చు, కడుపులోనుండు",,
చూలువడు-చూలుకొను,"గర్భముతాల్చు, కడుపులోనుండు",,
చెంగలించు,"ఆవిర్భవించు, కలుగు, నవ్వు, హసించు, ప్ర్రకాశించు, ఒప్పు, వికసించు, అతిశయించు, విజృంభించు",,
చెంగు,"పాయు, తొలగు, చలించు",,
చెందు,"కలుగు, సిద్ధించు, వసించు, చేరు, అంటుకొను",,
