adjective,meaning,Primary sense-type,Secondary sense-type
డిమ్మరి-దిమ్మరి,"దుష్టుడు,చెడుగు",,
డిల్లము-డిల్ల,"నిస్సత్వము.బలములేనిది,భయాదులచే వ్యాకులమైనది",,
డీనము,ఆకసముననెగిరినది,,
డీలు-దీలు,"దుర్భలము,సత్వహీనము,డిల్లము",,
డుండుకము,"అల్పము,క్రూరము",,
డెప్పరము-దెప్పరము,"ఆపత్కరము,విపత్తు కలిగించునది",,
డొక్క,"వృద్ధు,ముసలివాడు",,
తంట(టా)లమారి,"వంచకుడు,వంచకురాలు,బాధకుడు,బాధకురాలు,పొగరుబోతు",,
తండకుడు,"మతకరి,మాయావి,మిక్కిలి మాయలు పన్నువాడు,పీడిoచువాడు",,
తండురీణుడు,"పామరుడు,మూర్ఖుడు",,
తoడోపతండములు,"అసంఖ్యాకములు,అపరిమితులు",,
తంతుసంతతము,తంతువులచే నిర్మింపబడినది,,
తంత్రము,"వశమైనది,లోకువ అయినది,అధీనము",,
తంత్రి,తంతువులు గలది.తంతులు(ఉక్కు తీగలు)కలది,,
తంద్రము,"బడలినది,అలసినది,సోమరియైనది,ప్రాలుమాలినది",,
తంద్రాళువు,"బడలునది,అలయునది,తూగునది,కునికిపడునది,సోమరి",,
తంద్రితుడు,"అలసుడు,సోమరి,ప్రాలుమాలినవాడు",,
తంపర,"సాంద్రము,దట్టము,సమూహము",,
తకిలుడు,"ధూర్తుడు,మోసగాడు",,
తక్కటి,"మిగిలినది,అన్యము,ఇతరము",,
తక్కరి-టక్కరి,"వంచకము,కల్లది,అవాస్తికము,మాయది",,
తక్కరీడు,"తక్కరి,మోసకాడు",,
తక్కిడికాడు,"వంచకుడు,మోసకాడు,దొంగ",,
తక్కువ,"న్యూనము,హీనము",,
తక్కెఱ,అల్పము,,
తక్కొండు,"అన్యము,ఇతరము",,
తక్కొరుడు,"అన్యుడు,ఇతరుడు",,
తక్షకుడు,చెక్కువాడు,,
తగరికుడు,తగరమును గంధద్రవ్యమునమ్మువాడు,,
తగవు,"యుక్తము,తగినది,న్యాయము",,
తగవుగోరి,సంధి చేయువాడు,,
తగవులాడు,"తగవులవాడు,న్యాయస్థుడు,న్యాయశీలుడు",,
తగులాటకత్తే,"తగులాటముగలది,సంగిని",,
"తగులు,తవులు,తౌలు","సక్తుడు,సక్తము,ప్రియుడు,ప్రియురాలు",,
తగులుకొండి,"విటివిటులను తగులుకొనువాడు,తగులుకొనునది",,
తచ్చనగొండి,కపటశీలుడు,,
తటమట-తటపట,"కలతనొందినది,వంచకము,మోసముచేయునది,నిజము కానిది",,
తటస్థుడు,"తీరస్థుడు,ఒడ్డునవున్నవాడు,ఏ పక్షమునను చేరక యుండువాడు",,
తటుకు,"తటుకుతటుకుమను ధ్వని గలది,బిగి సడలినది",,
తడి,కొట్టునది,,
,"తేమగలది,ఆర్ధ్రము",,
తడిపొడి,కొంచెము తడిగాను కొంచెము పొడిగాను ఉండునది,,
తడుమన,"మందమైనది,అలసమైనది",,
తడుమని,"మందము,అలసము",,
తతము,"విస్తారితము,విరివి సేయబడినది,చాగినది,విరివియైనది,వ్యాపించినది",,
తతిమ్మా,"మిగిలినది,శేషించినది",,
తత్తఱము,"ససంభ్రమము,తొందరతో గూడినది",,
తట్టాఱబిత్తర,"సంభ్రమ చాంచల్యములు కలది,కలత నొందినది",,
తత్పరము,"ఆసక్తము,అదే ఉత్తమమైనదిగా గలది",,
తత్పరాయణము,"తదాసక్తము,ఒకదానియందే ఆసక్తి గలది",,
తత్రత్యము,"అక్కడఉన్నది,అక్కడిది",,
తత్వజ్ఞుడు,తత్వము తెలిసినవాడు,,
తథాగతుడు,"అట్లు వెళ్ళినవాడు,అట్లు వచ్చినవాడు,అట్టిస్థితిలో ఉన్నవాడు",,
తథాగుణము,అట్టి గుణములు గలది,,
తథాభూతము,"ఆ రీతి నైనది,అట్లైనది,అట్లున్నది",,
తథారూపము,అట్టిరూపము గలది,,
తథారూపి,అట్టిరూపము గలది,,
తథావిధము,అట్టి విధమైనది,,
తథ్యము,"సత్యమైనది,యథార్థమైనది",,
తదర్థము,"అది ప్రయోజనముగా గలది,తదుద్దేశ్యము,దానిని గురించినది",,
తదానీంతనము,"ఆ కాలముది,అప్పటిది",,
తదీయము,తత్సబంధమైనది,,
తద్గతము,"దానిని పొందినది,తత్పరము,దానియందు ఆసక్తి కలది",,
తద్గుణము,దాని గుణములవంటి గుణములు కలది,,
తద్ధర్మము,"అదియే ధర్మము గాగలది,స్వాభావిక ధర్మమును దెలుపునది",,
తద్ధితము,దానికి/వానికి /వారికి హితమైనది,,
తనకలి,"చిక్కు పడినది,చిక్కుల బెట్టువాడు",,
తని,"అల్పము,కొంచెము,చిన్నది,పరిపక్వము,బాగుగా పండినది",,
తనివు(న్వు)-తనివి,"నిండు,పూర్ణము",,
తనిష్టము," తనుతమము,క్రుశతమము.అల్పతమము",,
తనీయము," తనుతరము,కృశతరము,అల్పతరము",,
తనుకాడు,"తృప్తికరుడు,తుష్టికరుడు",,
తనుక్షీరము,అల్పమగు క్షీరము గలది,,
తనుచ్చాయము,అల్పమైన ఛాయ గలది,,
తనుత్వక్కు,పలుచని తొక్కగలది,,
తనుపు(న్పు),"త్రుప్తికారము,మనోజ్ఞము",,
తనురుహము,శరీరమునపుట్టినది,,
తనులము,"విస్తృతము,విరివియైనది",,
తనువు,"కృశము,బక్కది,సన్ననిది,విరళము,పలుచనిది,అల్పము,చిన్నది",,
తనూకృతము,"అల్పీక్రుతము,చిన్నదిగా చేయబడినది,చెక్కబడినది",,
తన్మయము,"తద్వికారమైనది,తదాత్మకము,తత్సరూపమైనది",,
తన్మాత్రము,అపరిమితి కలది,,
తపనము,"కాల్చునది,కాచునది,వేడిసేయునది,తాపము కలిగించునది,బాధించునది",,
తపనీయము,"వేడిసేయదగినది,కాల్పదగినది,బాధింపదగినది,ఆచరింపదగినది",,
తపనేష్టము,సూర్యునకు ఇష్టమైనది,,
తపసుడు,"మహాంతము,గొప్పది",,
తపస్వి,"తపస్సుచేయువాడు,కనికరింపదగినవాడు,దీనుడు",,
తపిష్టుడు,"మిక్కిలి తపింప జేయువాడు,మిక్కిలి తపస్సు చేయువాడు",,
తపీయము,"మిక్కిలి తాపము కలిగించునది,మిక్కిలి తపస్సు చేయునది",,
తపోధనుడు,తపస్సే ధనముగా గలవాడు,,
తపోమయుడు,"తపఃప్రచురుడు,మిక్కిలి తపస్సు గలవాడు,తపస్వరూపుడు",,
తప్తము,"దగ్ధము,కాల్పబడినది,కాపబడినది,పుటము వేయబడినది",,
తప్ప,"బీజము లేనిది,నిస్సారము",,
తప్యమానము,తపింప జేయబడుచున్నది,,
తమతుడు,"తృష్ణాపరుడు,ఆసగలవాడు",,
తమసము,నల్లనిరంగు గలది,,
తమోఘ్నుడు,తమస్సును పోగొట్టువాడు,,
తమోభిదము,చీకటిని భేదించునది,,
తరంగి,అలలుకలది,,
తరంగితము,"సంజాత తరంగము,తరంగములు కలది,చంచలమైనది",,
తర(ఱ)కట,"వ్యర్థము,అసత్యము,పొల్లు",,
తరణీయము,"తరింపదగినది,దాటదగినది",,
తరతమము,"ఎక్కువ తక్కువలుకలది,హెచ్చుతగ్గులు కలది",,
తరతరము,"పుంజీభూతము,గుంపైనది,తఱచు,బహుళము",,
తరబడి,"సదృశము,సాటి",,
తరము,"శక్యము,సాధ్యము,శక్తము,సమర్ధము",,
తరళ(ల)ము,"చపలము,చలించునది,భాస్వరము,ప్రకాశించునది",,
తరళి(లి)తము,"ఆందోలితము,ఊపబడినది,కంపితము,వడకింపబడినది",,
తరళుడు,"జారుడు,షిద్గుడు",,
తరసము,"వేగము గలది,బలము గలది",,
తరస్వంతము,"వడిగలది,బలిమి గలది",,
తరస్వి,"వడిగలవాడు,బలిమి గలవాడు",,
తరికాడు,"త్రచ్చువాడు,మధిoచువాడు",,
తరిత,తరించువాడు,,
తరితీపరి,"కాముకుడు,కాముకి",,
తరీషము,సమర్థమైనది,,
తరువుకత్తే,"ఇయ్యవలసిన ధనాదికమిమ్మని నిర్బంధిoచునది,నిర్బంధకురాలు",,
తరువుకాడు,"ఇయ్యవలసిన ధనాదికమిమ్మని నిర్బంధపెట్టువాడు,నిర్బంధకుడు",,
తరుశము,పెక్కు చెట్లు కలది,,
తరుశాయి,వృక్షము మీద బరుండునది,,
తర్కకుడు,"తర్కము చేయువాడు,ఊహచేయువాడు,యాచించువాడు",,
తర్కితము,"తర్కముసేయబడినది,పరిశీలింపబడినది,ఊహింపబడినది",,
తర్జకుడు,"బెదరించువాడు,అదల్చువాడు",,
తర్జనీయము,బెదరింపదగినది,,
తర్జయమానము,"బెదరించుచున్నది,అదల్చుచున్నది",,
తర్జయిత,"బెదరించువాడు,అదల్చువాడు",,
తర్జితము,"భర్త్సితము,బెదరిoపబడినది , అదల్పబడినది",,
తర్జ్యమానము,బెదరింపబడుచున్నది,,
తర్తరీకుడు,"పారగుడు,అవ్వలిగట్టును పొందినవాడు",,
తర్పకుడు/తర్పిత,"తృప్తిపడువాడు,తృప్తినొందించువాడు",,
తర్పణము,"తృప్తి కలిగించునది,ఉల్లాసము కలిగించునది",,
తర్పితవ్యము,తృప్తి నొందింపదగినది,,
తర్పితుడు,"తృప్తినొందింప బడినవాడు,సంతోష పెట్టబడినవాడు",,
తర్షకుడు/తర్షిత,"దప్పిగొనువాడు,ఆసగొనువాడు,దప్పి కలిగించువాడు,ఆస కలిగించువాడు",,
తర్షయిత,"దప్పికలిగించువాడు,ఆస కలిగించువాడు",,
తఱతఱకలువాఱు,"నిమ్మోన్నతమగు,గొగ్గియగు",,
తఱ(ఱి)పి,ముదురు,,
తఱుగరి,"తరుగు బేరగాడు,క్రయవిక్రయములను కుదిర్చి అందులకు ప్రతిఫలముగా ద్రవ్యము పుచ్చుకొనువాడు",,
తఱుగు,"తగ్గినది,మందము",,
తఱ్రు-తఱ్ర,"నీచుడు,తుచ్చుడు",,
తల,"మొదటివాడు,ముఖ్యుడు",,
తల(లయ)oటు,తలయంటువాడు,,
తలకట్టు,"శ్రేష్ఠము,ముఖ్యము,ప్రధానము",,
తల(ల్ల)కెడవు-తలగెడవు,"తలక్రిందయినది,తాఱుమాఱు,వ్యత్యస్తము",,
తలకొట్లమారి,"శిరచ్చేదనమును బొందినవాడు,కలహశీలుడు,జగడగొండి",,
తల(ల్ల)క్రిందు,"అధోముఖమైనది,తాఱుమాఱు,తబ్బిబ్బుపడినది",,
తలదండ,"సీమారక్షకము,మేరను కాపాడునది",,
తలబిరుసువాడు,"మూర్ఖుడు,మొండివాడు",,
తలబీకనకాయ,"కలతనొందినది,చెల్లాచెదరైనది",,
తలమిన్న,శ్రేష్ఠము,,
తలము,"చల్లనిది,శీతము",,
తలవంపు,"దుఃఖకరము,అవమానకరము",,
తలినము,"విరళము,పలుచనిది,అల్పమైనది,స్వచ్చము,తేటయైనది",,
తల్లజము,"శ్రేష్ఠము,ప్రశస్తము",,
తల్లి,"మొదటిది,పైది,పెద్దది",,
"తవులు-తౌలు,తగులు","సక్తము,సంబంధి,సంబంధము కలది,ప్రియము,ఇష్టము",,
తష్ట,చెక్కువాడు,,
తష్టము,"చెక్కబడినది,రెండుగా చీల్చబడినది,తాడితము,కొట్టబడినది",,
తష్టి,"తక్షణము,చెక్కుట",,
తసుకరి,"టక్కులాడు,టక్కులాడి",,
తసుకులాడి,టక్కులాడి,,
తస్థివాసుడు,ఉన్నవాడు,,
తాండవప్రియుడు,తాండవమున దిష్టము కలవాడు,,
తాండవితము,"నర్తితము,నృత్యము చేఇంపబడినది,నృత్యము చేయునది",,
తాంతము,"మ్లానము వాడినది,బాధితము,నొప్పింపబడినది",,
తాంతవము,"తంతు వికారమైనది,తంతు సంబంధమైనది",,
తాంత్రికము,"తంత్రములందు విధింపబడినది,తంత్ర సంబంధమైనది",,
తాంత్రికుడు,"సిద్ధాంతము తెలిసినవాడు,తంత్ర సిద్ధాంతములను అనువర్తించువాడు",,
తాట,"పలుచనిది,దళము కానిది",,
తాటకత్తె,మోసకత్తె,,
తాటకుడు,"మాయావి,టక్కరి",,
తాటాదూటము,"అందముకానిది,సొందర్యహీనము",,
తాడకుడు,కొట్టువాడు,,
తాడనము/తాడము,కొట్టునది,,
తాడయమానము,కొట్టుచున్నది,,
తాడయిత,కొట్టువాడు,,
తాడయితవ్యము,కొట్టదగినది,,
తాడితము,కొట్టబడినది,,
తాడులము,"తాడకము,కొట్టునది",,
తాడ్యమానము,కొట్టబడుచుండునది,,
తాతగువు,తండ్రికి హితుడైనవాడు,,
తాతలము,"తప్తము కాపబడినది,వేడియైనది",,
తాతుడు,"అనుకంప్యుడు,కనికరింప దగినవాడు",,
తాత్కాలికము,"అకాలమందలిది,అప్పటిది,అప్పుడు మాత్రమే యుండునది",,
తాత్త్వికము,"సత్యమైనది,యథార్థమైనది",,
తాద్రుక్కు,"దానివంటిది,అటువంటిది",,
తాదృక్షము/తాదృశము,తాదృక్కు,,
తానవము,శరీర సంబంధమైనది,,
తాపకము,తాపము కలిగించునది,,
తాపనము,"తాపము కలిగించునది,బాధించునది",,
తాపనీయము,"తపింప జేయదగినది,సౌవర్ణము,బంగారుది",,
తాపయమానము,తపింపజేయుచున్నది,,
తాపయిత,తపింపజేయువాడు,,
తాపయితవ్యము,తపింపజేయదగినది,,
తాపసుడు,తపస్సుచేయువాడు,,
తాపి,"తపింపజేయునది,తాపముకలది",,
తాపికము,వేసగికాలమునందలిది,,
తాపితము,"తపింపజేయబడినది,వేడిసేయబడినది,బాధింపబడినది",,
తాప్యము,తపింప జేయదగినది,,
తామము,"బడలిక కలిగించునది,భయంకరమైనది",,
తామరతంపర,"కడునభివ్రుద్దినొందినది,అత్యధికమైనది",,
తామసము,"తమోగుణము గలది,అంధకారముగలది,ఖలము,దుష్టమైనది,మూఢమైనది",,
తామసికము,"చీకటిగలది,తమోగుణము గలది",,
తామిస్రము,"చీకటికి సంబంధించినది,",,
తామ్రపల్లవము,ఎర్రని చిగుళ్ళుకలది,,
తామ్రపుష్పము,ఎఱ్ఱని పూవులు గలది,,
తామ్రబీజము,"కులుత్ధము,ఉలవ",,
తామ్రము,రాగి వంటి ఎరుపు వన్నెకలది,,
తామ్రముఖుడు,ఎర్రని ముఖము గలవాడు,,
తామ్రశిఖము,ఎఱ్ఱని శిఖగలది,,
తామ్రసారము,ఎఱ్ఱని చేప గలది,,
తామ్రాక్షము,ఎఱ్ఱని కన్నులుగలది,,
తారకితము,తారకములు-నక్షత్రములు కలది,,
తారకుడు,"దాటించువాడు,విపత్తునుండి కాచువాడు,ఉద్ధరించువాడు",,
తారణము,"తరింపజేయునది,దాటించునది,ఉద్ధరించునది,విపత్తునుండి విడిపించునది",,
తారము,"పెద్దధ్వని గలది,నిగనిగ మెరయునది.చిత్రవర్ణము కలది",,
తారళుడు,"చంచలుడు,విటుడు",,
తారసము,"సమీపించినది,దగ్గరినది,గుత్తమైనది",,
తారాధిపుడు,నక్షాత్రాధిపతి(అశ్వినీ కుమారాదులు),,
తారి,"దాటించునది,ఉద్ధరింపబడినది",,
తారితము,"తరింపజేయబడినది,దాటింపబడినది,ఉద్దరింపబడినది",,
తారుణము,"తరుణసంబంధమైనది,పడుచువారికి సంబంధించినది",,
తార్ణము,తృణమునకు సంబంధించినది,,
తార్తీయము,"మూడవ దానికి సంబంధించినది,మూడవది",,
తార్తీయీకము,మూడవది,,
తార్యము,"తరింపదగినది,దాటదగినది,ఉద్ధరింపదగినది",,
తాలవ్యము,తాలుపునబుట్టినది,,
తాలిమి(ల్మి)కత్తే(త్తియ),"క్షమావంతురాలు,ధీరురాలు",,
తాలిమి(ల్మి)కాడు,"క్షమావంతుడు,ఓర్పరి,ధైర్యవంతుడు,ధీరుడు,పండితుడు",,
తాలుక,కపటముగలవాడు,,
తాలుప(ల్ప)రి,"ధరించినవాడు,ధరించినది",,
తాలుపు(ల్పు),"తాల్చువాడు,ధరించువాడు",,
తాళి,"తాళము కలవాడు,తాళము వాయించువాడు",,
తాళీకుడు,"కార్యసాధకుడు,పూనినపని నిర్వహించువాడు",,
తావకము/తావకీనము,"తద్వీయము,నీ సంబంధమైనది,నీది",,
తావత్,అంత పరిమితికలది,,
తావత్కము,"అంత వెలగలది,అంత ద్రవ్యముతో కొనబడినది",,
తావన్మాత్రము,"అంత పరిమితికలది,అంతటిది,",,
తావరము-తాపలము,స్థిరము,,
తావలము-తావరము,"స్థిరము,విడువనిది",,
తిండికత్తియ(త్తే),"అమిత భక్షకురాలు,మిక్కిలి తినునది",,
తిండికాడు,"తిండిపోతు,మిక్కిలి తినువాడు,దురాశావంతుడు,లోభి",,
తిండిపోతు,"మిక్కిలి తినువాడు,మిక్కిలి తినునది",,
తిండీడు,"ఘస్మరుడు,తిండిపోతు",,
తికతిక/తికమక-తికమకము,"క్షుబ్ధము,కలగినది",,
తిక్తకము,చేదైనది,,
తిక్తము,"చేదైనది,సుగంధి,మంచివాసనగలది,కటువు,కారముగలది",,
తిగ్మము,"తీక్ష్ణము,వాడియైనది,ప్రచండము,తీవ్రమైనది,గాటైనది",,
తిట్టుబోతు-తిట్లమారి,నిందించుస్వభావము గలవాడు,,
తితిక్షితుడు,ఓర్పుగలవాడు,,
తితిక్షువు,"తితిక్షావంతుడు,ఓర్చునట్టి స్వభావము గలవాడు",,
తితీర్షువు,"తరింపదలచువాడు,దాటగోరువాడు",,
తిత్తికాడు,సుతికై తిత్తియూదువాడు,,
తిన్న,"మనోజ్ఞము,ఇంపైనది,యుక్తము,స్వస్థము,నిశ్చలము",,
తిన్నన,"మనోజ్ఞమైనది,ఒప్పిదమైనది",,
తిప్పకాయ,"ఆకతాయ,పెంకివాడు,పెంకెది",,
తిమితము,"క్లిన్నము,తడిసినది,నిశ్చలము,కదలికలేనిది,స్థిరము,నిమ్మళమైనది",,
తిమ్మ,స్వస్థము,,
తియ-తియ్య,మధురము,,
తియ్యబో(ణి)డి,మనోజ్ఞరాలగు స్త్రీ,,
తియ్యన-తీయన,మధురము,,
తియ్యము-తీయము,"మధురము,మనోజ్ఞము,దండకము,ప్రియము,ఇష్టము,హితము",,
తిరము,"స్థిరము,నిశ్చలము,శాశ్వతము,ధృవము,నిశ్చితము",,
తిరశ్చీనము,"అడ్డముగా బోవునది,వక్రము,వంకరైనది",,
తిరస్కరము,"తిరస్కరించునది,అతిశఇంచునది,మరుగుపరుచునది,కప్పునది",,
తిరస్కారి,"తిరస్కరించువాడు,అనాదరము చేయువాడు,నిందిన్చువాడు",,
తిరస్కుడ్యుడు,"గోడ అడ్డుగా గలవాడు,గోడమాటుననుండువాడు",,
తిరస్క్రుతము,"తిరస్కరింపబడినది,అనాదరము చేయబడినది,నిందింపబడినది",,
తిరిప(డు)-తిరిపము,"భిక్షికుడు,బిచ్చగాడు",,
తిరిపకా(గా)డు,భిక్షుకుడు,,
తిరిపగొట్టు/తిఱ్ఱి-తిర్రగొట్టు,విరక్తుడు కాక బిచ్చమెత్తువాడు,,
తిరిపజోగి,"బిచ్చమెత్తుయోగి,ముష్టివాడు",,
తిరిపతిండి,"భిక్షాశనుడు,భిక్షకుడు",,
తిరిపము/తిరిపరి,"బిచ్చమెత్తువాడు,బిచ్చమేత్తునది/బిచ్చమెత్తుకోనువాడు",,
తిరు,"శ్రీపదము,శుభకరము,పవిత్రము",,
తిరుడు,స్థిరుడు,,
తిరుగుబోతు,"తిరుగునట్టి స్వభావము కలవాడు,వ్యభిచారి,వ్యభిచారిణి",,
తిరోగతుడు,"మఱుగుపడినవాడు,అడ్డుగా వెళ్ళినవాడు",,
తిరోహితుడు,"మఱుగుపడినవాడు,మాయమైనవాడు,ఆచ్చాదితుడు,కప్పబడినవాడు",,
తిర్యక్కు,"వక్రము,వంకరైనది,అడ్డముగాబోవునది,అడ్డముగానున్నది",,
తిర్యగ్గము/తిర్యగ్యానము,అడ్డముగానడచునది,,
తిలకము,శ్రేష్ఠము,,
తిలకితము,తిలకము కలది,,
తిల్యము,"తిలలు పండునది,తిలల కనుకూలమైనది",,
తివురు,శీఘ్రము,,
తిష్యము,"శుభమైనది,పుష్య నక్షత్రమున బుట్టినది",,
తీండ్రము,"తీక్ష్ణము,ప్రచండము",,
తీగతెంపు,"అవిచ్చిన్నము,ఎడతెగనిది",,
తీక్ష్ణకంటకము,వాడియైన ముండ్లుకలది,,
తీక్ష్ణదంష్ట్రము,వాడియైన కోరలు కలది,,
తీక్ష్ణపుష్పము,తీక్ష్ణమైన పుష్పములు కలది,,
తీక్ష్ణము,"వాడియైనది,చురుకైనది,గట్టిది,క్రూరము,ఆత్మత్యాగియైనది",,
తీక్ష్ణమూలము,గాటయినవేరుకలది,,
తీక్ష్ణశూకము,వాడియైనముండ్లుకలది,,
తీపి-తీపు,"మధురము,రుచ్యము,ప్రేమోస్పదము,ఇష్టము,ప్రియము",,
తీయన-తియ్యన,"మధురము,ప్రియము",,
తీరితము,"తీర్పబడినది,సాక్ష్యానుసారముగా నిర్ణఇంపబడినది",,
తీరుప(ర్ప)రి,"తగవరి,ధర్మజ్ఞుడు,చారుడు,వేగులవాడు,పూజ్యుడు,పెద్ద",,
తీర్ణము,"దాటబడినది,కీడ్పరుపబడినది,మీరబడినది,స్నానము చేసినది",,
తీర్ధకరుడు,తీర్ధమును రచించినవాడు,,
తీర్ధవాసి/తీర్ధసేవి,"పుణ్యక్షేత్రమందు నివసించువాడు,తీర్ధసేవ చేయువాడు",,
తీర్ధ్యము,తీర్ధమునబుట్టినది,,
తీర్యమానము,"తరింపబడుచున్నది,దాటబడుచున్నది",,
తీరుగడ,"సమాప్తము,ముగిసినది",,
తీవరకత్తే(త్తియ),"వేగిరపడునది,తొందరపాటుకలది",,
తీవ్రకంఠము,తీవ్రమైన కంఠముకలది,,
తీవ్రకందము,తీవ్రమైన దుంపకలది,,
తీవ్రము,"తీక్ష్ణము,వాడిమి గలది",,
తుంగము,"ఉన్నతము,ఎత్తైనది,పొడుగైనది,ఉగ్రము",,
తుంగి,"ఉన్నతము,ఎత్తైనది,పొడుగైనది",,
తుంట-తూట-తూడ,"తుంటరి,దుష్టుడు,తుచ్చుడు,తుచ్చురాలు,దుష్ట,దుష్టము",,
తుండిభుడు/తుండిలుడు,"తుందిలుడు,ఉరుకుబొడ్డువాడు",,
తుందపరిమార్జుడు,బొజ్జనిమురుకొనువాడు,,
తుందపరిమృజుడు,బొజ్జనిమురుకొనుచు గూర్చుండువాడు-సోమరి,,
తుంది,"పెద్దకడుపువాడు,బొజ్జవాడు",,
తుందిలము,"గొప్పది,అధికము",,
తుందిలుడు,"పెద్దబొజ్జవాడు,పెద్దకడుపువాడు,ఉరుకుబొడ్డువాడు",,
తుంబుకము,"నంగి,ముక్కుతోపలుకబడునది",,
తుకాటము,మిక్కిలి ప్రాంతది,,
తుక్కు/తుక్కుడు,"పనికిమాలినది,నిస్సారము,అల్పము",,
తుచ్చము,"శూన్యము,రిత్త,అల్పము,చిన్నది,హీణము,నీచము,మందము",,
తుజుగు,"త్వరపడువాడు,తొందరపడువాడు",,
తుటారము,"దిట్టమైనది,దృఢమైనది,ధైర్యముకలది,పరుషము",,
తుటారి,"దిట్టదనముగలది,దృష్టుడు,ప్రేలరి,వదురుబోతు,చెడుగు,దుష్టుడు",,
తుటారికత్తే(త్తియ),"దిట్టదనముగలస్త్రీ,దృష్టురాలు,తుంటరి",,
తుటారికాడు,"దిట్టదనముగలవాడు,తుంటరి,దుష్టుడు",,
తుట్టు,బాధకము,,
తుట్టె(ట్టియ),"క్షుద్రము,నీచము",,
తుడుపు(డ్పు),"తుడుచునది,తుడిచివేయునది",,
తుద-తుది,"చివరిది,కడపటిది,అంత్యము",,
తుదివాడు,చివరవాడు,,
తున్నము,"హతము,గాయపరుపబడినది,కొట్టబడినది,వ్యథితము,నొప్పింపబడినది,ఛినము, త్రుంపబడినది",,
తుప్ప,నిస్సారము,,
తుములము,"సంకులము,సందడియైనది,దొమ్మియైనది",,
తురగప్రియము,"గుఱ్ఱమునకు ప్రియమైనది,గుఱ్ఱములయ దిష్టముకలది",,
తుర(రం)గి,గుఱ్ఱముకలవాడు,,
తురము,వేగముగలది,,
తురీయకము,"తురీయము,నాలుగవది",,
తురీయము/తుర్యము,"చతుర్థము,నాలుగవది",,
తుల,సద్బశము,,
తులయిత,"కదల్చువాడు,సాటిచేయువాడు,పోల్చువాడు",,
తులయితవ్యము,"కదల్పదగినది,సాటిచేయదగినది,పోల్పబడినది",,
తులితము,"తూనిక వేయబడినది,సరిపోల్పబడినది,సాటియైనది, చాలితము,కదల్పబడినది,ఎత్తబడినది",,
తులుచ,వేగముగలది,,
తులువ(ల్వ),"తుంటరి,దుష్టుడు,తుచ్ఛము.నీచము",,
తుల్యము,"తులాసమ్మితము - సరితూగినది,సరి,సాటి",,
తువరము,"కషాయరసముకలది,ఒగరైనది",,
తుషారము,"శీతలము,చల్లనిది",,
తుష్టుడు,"సంతోషము పొందినవాడు,తృప్తుడు,తనివి నొందినవాడు",,
తుస్సు,నీచము,,
తుహినము,"చల్లనిది,శీతలము",,
తుణి,"తూణము కలవాడు,విలుకాడు",,
తూబ(వ)రము,"తువరము,ఒగరైనది",,
తూర్ణము,వడిగలది,,
తూలి-తూలికాడు,చేపలనుబట్టి జీవించెడి యొకానొక జాతివాడు,,
తుష్ణీకుడు,"మిన్నకుండవాడు, మాటలాడకుండువాడు",,
తృంఢము,"హింసితము,హింసింపబడినది",,
తృషితుడు,"దప్పిగొన్నవాడు,ఆసగొన్నవాడు",,
తృష్ణక్కు,ఇచ్ఛగొన్నవాడు,,
తృష్యము,కోరదగినది,,
తెందేప-తెందెప్ప,"అపారము,అమితము",,
తెంపరి,"సాహసముకలది,శూరుడు,క్రూరము,కఠీనము",,
తెంపుబడి,"సాహసికుడు,మోటు,మూర్ఖుడు",,
తెక్కిలి,"చోరుడు,దొంగ",,
తెక్కలికాడు-తెక్కలీడు,"అపహర్త,దొంగతరువోజ,వంచకుడు,మోసగాడు",,
తెక్కులకాడు,గర్వము కలవాడు,,
తెగుదారి,"సాహసికుడు,సాహసికురాలు,దాత,వదాన్యుడు,వదాన్యురాలు",,
తెగువరి,"వాడిగలది,దానశీలము,దాత,సాహసికుడు,సాహసికురాలు",,
తెమ్మ-తేమ,"తేమగలది,తడిగలది",,
తెరువ(ర్వ)రి,"బాటసారి,పాంథుడు",,
తెరువాటుకాడు,దారికట్టికొట్టి దోచుకొనువాడు,,
తెఱగు-తెఱవు,"అనుకూలము,క్షేమకరము",,
తెల-తెల్ల/తెలన-తెల్లన/తెలుపు,"ధవళము,తెల్లనిది",,
తెలగాణము,తెలుగుదేశసంబంధమైనది,,
తెలివి(ల్వి),"స్పష్టము,స్ఫుటము",,
తెలివికత్తే,"ప్రాజ్ఞురాలు,వివేకవతి",,
తెలివికాడు,"వివేకి,ప్రాజ్ఞుడు",,
తెల్లమి-తెల్లము,"స్పష్టము,విశదము,నిస్సంశయము,యథార్థము",,
తేగడ,"అఱిగినది,తగ్గినది,తరుణము,లేతది,నవకము కలది,ఏపు గలది",,
తేజస్కరము,"ప్రకాశము కలిగించునది,వీర్యము కలిగించునది,సత్తువనిచ్చునది",,
తేజస్వంతుడు/తేజస్వి,తేజస్సు గలవాడు,,
తేజితము,"శానితము,సానబట్టబడినది,పదనుపెట్టబడినది,ఉద్దీపితము,ప్రజ్వలింపజేయబడినది",,
తేజిష్టము,"తేజస్వితమము,అన్నిటిలోనుఎక్కువతేజస్సుకలది",,
తేజీయము,"తేజస్వితరము,ఎక్కువ తేజస్సు గలది",,
తేజోమయము,"మిక్కిలి తేజస్సుగలది,తేజోవికారమైనది",,
