adjective,meaning,Primary sense-type,Secondary sense-type
అంతవాసి,"దగ్గరనుండువాడు,పొలిమేరయొద్దనుండువాడు",,
అంతశ్శల్యము,లోపల శల్యముకలది,,
అంతస్తాపము,లోపలతాపముకలది,,
అంతస్త్సము,"లోపలనుండునది,నడుమనుండునది",,
అంతస్సంజ్ఞము,లోపల చైతన్యముకలది,,
అంతస్సత్వము,లోపలశక్తికలది,,
అంతస్సలిలము,"లోపలనీరుగలది,భూమియడుగునబ్రవహించునది",,
అంతస్సారము,లోపలసారముగలది,,
అంతికము,"సమీపము,దగ్గరది,తుదవరకు సాగునది,పర్యంతవ్యాపకము",,
అంతిమము,"దగ్గరది,సమీపము,కడపటిది,చరమము",,
అంత్యము,"కడపటిది,దగ్గరది,తరువాతనుండునది",,
అందకత్తె(త్తియ),"సౌందర్యవతి,అందము గలది",,
అందగాడు,"అందము గలవాడు,సౌందర్యవంతుడు",,
అందచందము,"అందమయినది,మనోహరము",,
అందదుకు,అతుకులు కలది,,
అందము,"చక్కనిది,ఒప్పునది",,
అందుబడి,"అందుటకనుకూలముగానున్నది,సమీపమందున్నది,సులభము",,
అంధంకరణము,అంధునిజేయునది,,
అంధంభావుకము,అంధంభ విష్ణువు,,
అంధకారి,అంధునిగాజేయునది,,
అంధకుడు,గ్రుడ్డివాడు,,
అంధము,"గ్రుడ్డిది,అంధునిజేయునది",,
అంధుడు,"గ్రుడ్డివాడు,వివేకములేనివాడు",,
అంపుదోడు,"ప్రయాణమందలితోడు,యాత్రాసహాయుడు",,
అంబస్తు,"అజ్ఞుడు,తెలివిలేనివాడు",,
అంబుచరము,నీటచరించునది,,
అంబుజము,నీటబుట్టునది,,
అంబుదము,నీటినిచ్చునది,,
అంబుపము,జలమును త్రాగునది,,
అంబుపుడు,"జలములకురాజు,నీరుత్రాగువాడు",,
అంబువాహము,నీరు మోయునది,,
అంబువాహి,నీళ్లుమోయువాడు,,
అoబూకృతము,"నిష్టీవముతోగూడినది,నీరుగాజేయబడినది",,
అంబేద,"దిట్టతనములేనివాడు,పిరికి,అసమర్ధుడు",,
అంబ్లము,"ఆమ్లము,పుల్లనిది",,
అంభోజము,నీటబుట్టినది,,
అంభోజుడు,నీటబుట్టినవాడు,,
అంభోదము,నీటినిచ్చునది,,
అంశభాక్కు,భాగస్వామి,,
అంశయిత,పంచిపెట్టువాడు,,
అంశలుడు,"భాగస్వామి,భాగాధికారి",,
అంశహరుడు,భాగము పుచ్చుకొనువాడు,,
అంశహారి,భాగముపంచుకొనువాడు,,
ఆంశి,"భాగముకలవాడు,దాయభాగము గలవాడు",,
అంశుమంతము,"ప్రకాశముగలది,మొనగలది",,
అంశులుడు,అంశువునుగ్రహించువాడు,,
అంశ్యము,"విభాగమునకు తగినది,పంచుకొనదగినది",,
అంసభారి/అంసభారికుడు,"బుజమున బరువుమోయువాడు,మూపున కాడి మోయునది",,
అంసలుడు,మంచిమూపుగలవాడు-బలవంతుడు,,
అంస్యము,అంసమున నుండునది,,
అకరణము,"అకృత్రిమము,స్వాభావికము,ఇంద్రియములు లేనిది",,
అకర్ణము,చెవులు లేనిది,,
అకర్తనుడు,"కత్తిరింపనివాడు,పొట్టివాడు,మరుగుజ్జు",,
అకర్మకము,"పనిలేనిది,కర్మాధికారములేనిది,భ్రష్టము",,
అకల్యము,"అస్వస్థము,రోగముగలది,సత్యమయినది",,
అకాండము,"సమయోచితముకానిది,ఉన్నట్టుండికలిగినది,ఆకస్మికము,కాండములేనిది",,
అకామము,"కోరికలేనిది,వలపులేనిది,మన్మథవికారములేనిది,బుద్ధిపూర్వకముగానిది",,
అకాయుడు,శరీరము లేనివాడు,,
అకారణము,"కారణములేనిది,తనంతటనే కలిగినది",,
అకార్యకారి,"చెడుపనిచేయువాడు,కార్యకారికానిది,పనిచేయనిది",,
అకార్యము,"చేయదగనిది,అయుక్తము",,
అకాలము,"కాలములేనిది,నలుపు కానిది,తెల్లనిది",,
అకాలసహము,"కాలవిలంబము సహింపనిది,చిరకాలము ఆగలేనిది",,
అకించనుడు,"కొంచెమైననులేనివాడు,నిరుపేద",,
అకీర్తి,కీర్తిలేనివాడు,,
అకుంఠము/అకుంఠీతము,"మొక్కవోనిది,వాడియయినది,అడ్డులేనిది,ప్రతిబంధములేనిది,స్థిరము",,
అకుతోభయుడు,దేనివలనను భయము లేనివాడు-నిర్భయుడు,,
అకూపారము,మేరలేనిది,,
అకృతబుద్ధి,శిక్షితము కాని బుద్ధికలవాడు-మూర్ఖుడు,,
అకృతము,"చేయబడనిది,తప్పుగా చేయబడినిది,సిద్ధము చేయబడనిది,సృజింపబడనిది",,
ఆకృతాత్ముడు,"అశిక్షిత బుద్ధి కలవాడు,మూర్ఖుడు,బ్రహ్మానుసంధానము లేనివాడు",,
అకృతాస్త్రుడు,"అస్త్రము లభ్యసింపనివాడు,విలువిద్యయందు ఆరి తేరని వాడు",,
అకృత్యము,చేయరానిది,,
అకృష్టపచ్యము/అకృష్టరోహి,"దున్నని భూమి యందుపండునది,దున్నకయేపండునది",,
అకృష్టము,"దున్నబడనిది,లాగబడనిది",,
అకృష్ణకర్ముడు,"పుణ్యకర్ముడు,మంచిపనులు చేయువాడు",,
అకేశుడు,వెండ్రుకలులేనివాడు,,
అక్కజము,"అధికము,హెచ్చైనది,శక్తికిమీరినది,అశక్యము,ఆశ్చర్యకరము",,
అక్కజుడు,"అధికుడు,బలాధికుడు",,
అక్కఱకత్తె,అక్కఱగలది,,
అక్కఱకాడు,అక్కఱకలవాడు,,
అక్కఱగండడు,అక్కఱదీర్చువాడు,,
అక్కసి,అక్కసుగలవాడు,,
అక్కసుకాడు,"అక్కసుకలవాడు,ఆగ్రహము కలవాడు",,
అక్తము,"పూయబడినది,వ్యక్తము,స్పష్టమైనది,వన్నెపెట్టబడినది,వ్యాప్తము,గతము",,
అక్రమము,"క్రమములేనిది,పాదములు లేనిది",,
అక్రియుడు,"పనిచేయనివాడు,సోమరి,ముఖ్యకృత్యములు లేనివాడు",,
అక్రూరుడు,"క్రూరుడు కానివాడు,సౌమ్యుడు",,
అక్రోధనుడు,కోపము లేనివాడు,,
అక్లిష్టము,"అలయిక చెందనిది,చెడనిది,సుబోధము,క్లిష్టముకానిది",,
అక్షణము,"కాలోచితము కానిది,తెరపిలేనిది",,
అక్షతము,"నొప్పింపబడనిది,గాయపడనిది,విరువబడనిది,పగులగొట్టబడనిది,దంపబడనిది",,
అక్షద్రుగ్ధుడు,"జూదమున మోసపోయినవాడు,జూదమునఓడినవాడు",,
అక్షధరుడు,అక్షము ధరించువాడు,,
అక్షధూర్తుడు,జూదరి,,
అక్షమము,"శక్తిలేనిది,అశక్తము,ఒర్పులేనిది",,
అక్షయము,"క్షయము లేనిది,తరుగనిది,నశింపనిది,ఇల్లులేనిది",,
అక్షయ్యము,క్షయింపజేయుటకు శక్యముకానిది,,
అక్షరచణుడు/అక్షరచుంచువు,"అక్షరముల వ్రాతయండు నేర్పరి,వ్రాతకాడు",,
అక్షరజీవ(వి)కుడు/అక్షరజీవి,వ్రాతవృత్తివలనజీవించువాడు,,
అక్షరము,"నశింపనిది,స్థిరమైనది,మారనిది",,
అక్షరముఖుడు/అక్షరాస్యుడు,"అక్షరాస్యుడు,అక్షరములు వచ్చినవాడు,శాస్త్రములు వచ్చినవాడు",,
అక్షవృత్తము,"జూదమున ఆసక్తి కలది,జూదమున జరిగినది",,
అక్షశౌండుడు,జూదమందునేర్పరి,,
అక్షిగతుడు,"కంటిలో మెరమెరలాడువాడు-ద్వేషింపదగినవాడు,కంటినిపొందినవాడు,గోచరుడు",,
అక్షిబము,"మత్తులేనిది,మత్తిల్లనిది",,
అక్షేత్రము,చేలు లేనిది,,
అక్షోభము,కలతలేనిది,,
అఖండము,"సంపూర్ణము,నిండైనది",,
అఖండితము,"విభజింపబడనిది,అవిచ్చిన్నమైనది,ఎడతెగనిది,ఖండిన్పబడనిది",,
అఖర్వము,"పొట్టిది కానిది,అలపముకానిది,అధికము",,
అఖాతము,త్రవ్వబడనిది,,
అఖిలము,"సమస్తము,దున్నబడినది",,
అగచాట్లపోతు,కష్టములు కలిగించు స్వభావముకలవాడు-దుష్టుడు,,
అగజము,"పర్వతమునుండిపుట్టినది,పర్వతమందు పుట్టినది",,
అగడుగాకి,అల్లరిచేయువాడు,,
అగణ్యము,"లెక్కింపశక్యముగానిది,అమితము,ఎన్నదగనిది,లేక్కసేయదగనిది",,
అగతి/అగతికము,"గతిలేనిది,దిక్కుమాలినది,ఆధారములేనిది",,
అగత్యము,"ఆవశ్యకము,అనివార్యము,తప్పనిది",,
అగదము,"తెవులులేనిది,ఆరోగ్యముకలది,భాషింపనిది,పలుకనిది",,
అగమము/అగము,నడువలేనిది,,
అగమ్యము,"నడువదగనిది,పోవదగనిది,పొందదగనిది,చేరరానిది,సంగమింపగూడనిది",,
అగాధము,"మిక్కిలిలోతుగలది,అతిగంభీరము,తెలియరానిది,దురవగాహము",,
అగుణము,"గుణరహితము,సుగుణములులేనిది",,
అగుణవాది,తప్పులుపట్టువాడు,,
అగురువు,గోవులులేనివాడు,,
అగూఢగంధము,దాపరానిపరిమళము గలది,,
అగౌక(స)ము,అగమునివాసముగాగలది,,
అగ్గము,"అధీనము,వశమైనది,అందుబాటుగానున్నది,సమీపించినది,గోచరమైనది",,
అగ్గలము,"అధికము,ఎక్కువది",,
అగ్గువ,"వెలతక్కువయైనది,చౌక",,
అగ్నిగర్భము,లోపలఅగ్నికలది,,
అగ్నిజము,అగ్నినుండిపుట్టినది,,
అగ్నిజిహ్వుడు,"తీక్షమైనవాక్కుకలవాడు,పరుషవాక్కులుగలవాడు,అగ్నియేజిహ్వగలవాడు",,
అగ్నిదగ్ధుడు,"అగ్నిచేకాల్పబడినవాడు,చితిమీదకాల్పబడినవాడు",,
అగ్నిదము,"అగ్నినిఇచ్చునది,ఆకలి పుట్టించునది,జఠరాగ్నిదీపమునుకలిగించునది",,
అగ్నిదాయకుడు,అగ్నిదుడు,,
అగ్నిదీపనము,"ఆకలిపెంచునది,జఠరాగ్నిని హెచ్చించునది",,
